customerID,gender,SeniorCitizen,Partner,Dependents,tenure,PhoneService,MultipleLines,InternetService,OnlineSecurity,OnlineBackup,DeviceProtection,TechSupport,StreamingTV,StreamingMovies,Contract,PaperlessBilling,PaymentMethod,MonthlyCharges,TotalCharges,Churn,ChargesPerMonth
7590-VHVEG,female,0,yes,No,1,No,No phone service,dsl,No,Yes,No,No,No,No,Month-to-month,Yes,electronic check,0.11542288557213931,0.001275098084468036,0,29.85
5575-GNVDE,male,0,no,No,34,Yes,No,dsl,Yes,No,Yes,No,No,No,One year,No,mailed check,0.3850746268656716,0.21586660512347106,0,55.5735294117647
3668-QPYBK,male,0,no,No,2,Yes,No,dsl,Yes,Yes,No,No,No,No,Month-to-month,Yes,mailed check,0.35422885572139307,0.010310408492960998,1,54.075
7795-CFOCW,male,0,no,No,45,No,No phone service,dsl,Yes,No,Yes,Yes,No,No,One year,No,bank transfer (automatic),0.23930348258706463,0.21024117239787676,0,40.90555555555556
9237-HQITU,female,0,no,No,2,Yes,No,fiber optic,No,No,No,No,No,No,Month-to-month,Yes,electronic check,0.5218905472636816,0.015330025386568198,1,75.825
9305-CDSKC,female,0,no,No,8,Yes,Yes,fiber optic,No,No,Yes,No,Yes,Yes,Month-to-month,Yes,electronic check,0.8099502487562189,0.09251096238172168,1,102.5625
1452-KIOVK,male,0,no,Yes,22,Yes,Yes,fiber optic,No,Yes,No,No,Yes,No,Month-to-month,Yes,credit card (automatic),0.7049751243781094,0.22277867528271408,0,88.60909090909091
6713-OKOMC,female,0,no,No,10,No,No phone service,dsl,Yes,No,No,No,No,No,Month-to-month,No,mailed check,0.11442786069651739,0.032667897530579276,0,30.189999999999998
7892-POOKP,female,0,yes,No,28,Yes,Yes,fiber optic,No,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,electronic check,0.8611940298507462,0.3493249480729287,1,108.78750000000001
6388-TABGU,male,0,no,Yes,62,Yes,No,dsl,Yes,Yes,No,No,No,No,One year,No,bank transfer (automatic),0.3771144278606965,0.4003173321024694,0,56.25725806451613
9763-GRSKD,male,0,yes,Yes,13,Yes,No,dsl,Yes,No,No,No,No,No,Month-to-month,Yes,mailed check,0.3154228855721393,0.06561850911608587,0,45.18846153846154
7469-LKBCI,male,0,no,No,16,Yes,No,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,Two year,No,credit card (automatic),0.006965174129353213,0.035541195476575124,0,20.425
8091-TTVAX,male,0,yes,No,58,Yes,Yes,fiber optic,No,No,Yes,No,Yes,Yes,One year,No,credit card (automatic),0.8169154228855721,0.6533925686591276,0,97.95
0280-XJGEX,male,0,no,No,49,Yes,Yes,fiber optic,No,Yes,Yes,No,Yes,Yes,Month-to-month,Yes,bank transfer (automatic),0.8502487562189055,0.578986845141934,1,102.78163265306122
5129-JLPIS,male,0,no,No,25,Yes,No,fiber optic,Yes,No,Yes,Yes,Yes,Yes,Month-to-month,Yes,electronic check,0.8681592039800995,0.30778329102238633,0,107.44200000000001
3655-SNQYZ,female,0,yes,Yes,69,Yes,Yes,fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Two year,No,credit card (automatic),0.945273631840796,0.9088795291945534,0,114.42246376811593
8191-XWSZG,female,0,no,No,52,Yes,No,no,No internet service,No internet service,No internet service,No internet service,No internet service,No internet service,One year,No,mailed check,0.023880597014925342,0.11587237479806141,0,19.672115384615385
9959-WOFKT,male,0,no,Yes,71,Yes,Yes,fiber optic,Yes,No,Yes,No,Yes,Yes,Two year,No,bank transfer (automatic),0.8800995024875623,0.8496942072467113,0,103.97535211267606
